Municipality,Year,Ethnic_Vote_Share,Casualty,Log_Casualty,HHI_SB,HHI_CB,HHI_SC,Pop_Density,Income_PC,Avg_Age,Avg_Age_Sqr,Refugees,Prison_Camps,Lost_Stock,CivilianCasualty,Log_CivilianCasualty
Bosansko Grahovo (Grahovo),2014,79.49479941,2.129707616,0.755984701,0.947664115,0.025894608,0.923425532,10.65512821,24338.58741,37.02177837,1370.612073,0.036096739,0,23.45121153,0.745999278,-0.293030647
Glamoc,2006,62.71777003,1.334074486,0.288237783,0.67724472,0.16681803,0.776120147,11.57444853,20143.01596,35.94755023,1292.226367,4.653378861,0.079409196,23.82352941,0.690860002,-0.369818078
Glamoc,2010,83.66583541,1.334074486,0.288237783,0.67724472,0.16681803,0.776120147,11.57444853,20143.01596,35.94755023,1292.226367,4.653378861,0.079409196,23.82352941,0.690860002,-0.369818078
Glamoc,2014,87.52672844,1.334074486,0.288237783,0.67724472,0.16681803,0.776120147,11.57444853,20143.01596,35.94755023,1292.226367,4.653378861,0.079409196,23.82352941,0.690860002,-0.369818078
Sipovo,2006,98.48024316,1.232428269,0.208986426,0.675096603,0.188371623,0.789662716,33.64794816,17905.64221,32.8958213,1082.135059,3.055395083,0.128377945,30.8812616,0.385133834,-0.954164384
Sipovo,2010,98.8800827,1.232428269,0.208986426,0.675096603,0.188371623,0.789662716,33.64794816,17905.64221,32.8958213,1082.135059,3.055395083,0.128377945,30.8812616,0.385133834,-0.954164384
Sipovo,2014,97.05733984,1.232428269,0.208986426,0.675096603,0.188371623,0.789662716,33.64794816,17905.64221,32.8958213,1082.135059,3.055395083,0.128377945,30.8812616,0.385133834,-0.954164384
Donji Vakuf,2006,71.5778098,1.169328553,0.156429698,0.483378352,0.525283245,0.364328018,70.52873563,16688.23338,29.30573664,858.8261998,3.650586701,0.203715776,30.85563264,0.505215124,-0.682770952
Donji Vakuf,2010,55.62120977,1.169328553,0.156429698,0.483378352,0.525283245,0.364328018,70.52873563,16688.23338,29.30573664,858.8261998,3.650586701,0.203715776,30.85563264,0.505215124,-0.682770952
Donji Vakuf,2014,69.32647644,1.169328553,0.156429698,0.483378352,0.525283245,0.364328018,70.52873563,16688.23338,29.30573664,858.8261998,3.650586701,0.203715776,30.85563264,0.505215124,-0.682770952
Travnik,2006,82.69766979,1.854495597,0.617612744,0.382933613,0.413380469,0.309691859,125.660746,19013.61188,28.96654275,839.0605989,2.137193097,0.042404625,27.28295327,0.182339887,-1.701882823
Travnik,2010,71.75712971,1.854495597,0.617612744,0.382933613,0.413380469,0.309691859,125.660746,19013.61188,28.96654275,839.0605989,2.137193097,0.042404625,27.28295327,0.182339887,-1.701882823
Travnik,2014,79.91009361,1.854495597,0.617612744,0.382933613,0.413380469,0.309691859,125.660746,19013.61188,28.96654275,839.0605989,2.137193097,0.042404625,27.28295327,0.182339887,-1.701882823
Zenica,2006,71.03938757,1.005380815,0.00536639,0.465357405,0.465240256,0.154425709,288.1524752,21610.10741,30.14827821,908.9186789,1.563391219,0.109952789,0.461939269,0.118886453,-2.129586418
Zenica,2010,55.10001527,1.005380815,0.00536639,0.465357405,0.465240256,0.154425709,288.1524752,21610.10741,30.14827821,908.9186789,1.563391219,0.109952789,0.461939269,0.118886453,-2.129586418
Zenica,2014,70.10779353,1.005380815,0.00536639,0.465357405,0.465240256,0.154425709,288.1524752,21610.10741,30.14827821,908.9186789,1.563391219,0.109952789,0.461939269,0.118886453,-2.129586418
Kakanj,2006,74.81597145,1.015192136,0.015077891,0.482026713,0.457820719,0.248232023,148.4084881,21620.64343,28.39190349,806.1001835,3.009830206,0.053619303,8.576238265,0.101876676,-2.283992256
Kakanj,2010,66.32941051,1.015192136,0.015077891,0.482026713,0.457820719,0.248232023,148.4084881,21620.64343,28.39190349,806.1001835,3.009830206,0.053619303,8.576238265,0.101876676,-2.283992256
Kakanj,2014,76.0170108,1.015192136,0.015077891,0.482026713,0.457820719,0.248232023,148.4084881,21620.64343,28.39190349,806.1001835,3.009830206,0.053619303,8.576238265,0.101876676,-2.283992256
Vares,2006,68.26813086,1.607890826,0.474923274,0.25374758,0.361817889,0.336429609,56.93076923,15593.34324,32.52378057,1057.796303,3.161734901,0.225194793,18.70795107,0.382831149,-0.960161251
Vares,2010,65.82787059,1.607890826,0.474923274,0.25374758,0.361817889,0.336429609,56.93076923,15593.34324,32.52378057,1057.796303,3.161734901,0.225194793,18.70795107,0.382831149,-0.960161251
Vares,2014,74.94112106,1.607890826,0.474923274,0.25374758,0.361817889,0.336429609,56.93076923,15593.34324,32.52378057,1057.796303,3.161734901,0.225194793,18.70795107,0.382831149,-0.960161251
Olovo,2006,70.37990985,1.669025714,0.512240051,0.636297878,0.714719808,0.163125067,41.55882353,19575.43053,29.90991389,894.6029492,1.645435244,0.058976174,29.28344959,0.353857042,-1.038862284
Olovo,2010,70.68518519,1.669025714,0.512240051,0.636297878,0.714719808,0.163125067,41.55882353,19575.43053,29.90991389,894.6029492,1.645435244,0.058976174,29.28344959,0.353857042,-1.038862284
Olovo,2014,70.63886764,1.669025714,0.512240051,0.636297878,0.714719808,0.163125067,41.55882353,19575.43053,29.90991389,894.6029492,1.645435244,0.058976174,29.28344959,0.353857042,-1.038862284
Kladanj,2006,72.66905255,1.418792782,0.349806357,0.602042208,0.720922362,0.243724328,49.44615385,14980.2738,29.64614188,878.8937283,2.153080274,0.062227754,27.00305144,0.180460485,-1.712243445
Kladanj,2010,53.26527305,1.418792782,0.349806357,0.602042208,0.720922362,0.243724328,49.44615385,14980.2738,29.64614188,878.8937283,2.153080274,0.062227754,27.00305144,0.180460485,-1.712243445
Kladanj,2014,78.66888519,1.418792782,0.349806357,0.602042208,0.720922362,0.243724328,49.44615385,14980.2738,29.64614188,878.8937283,2.153080274,0.062227754,27.00305144,0.180460485,-1.712243445
Sekovici,2006,96.44228308,1.952435352,0.669077492,0.906295384,0.032879348,0.936755855,48.38693467,13052.23803,30.7204798,943.7478792,0.571191193,0.415411777,3.5424,0.197320594,-1.622925492
Sekovici,2010,95.79487179,1.952435352,0.669077492,0.906295384,0.032879348,0.936755855,48.38693467,13052.23803,30.7204798,943.7478792,0.571191193,0.415411777,3.5424,0.197320594,-1.622925492
Sekovici,2014,95.57984791,1.952435352,0.669077492,0.906295384,0.032879348,0.936755855,48.38693467,13052.23803,30.7204798,943.7478792,0.571191193,0.415411777,3.5424,0.197320594,-1.622925492
Bratunac,2006,97.12556732,10.3334424,2.335385471,0.536539557,0.639375006,0.340143309,115.1335616,11111.15738,27.40242125,750.8926904,5.294625063,0.089235254,24.17556702,6.734287159,1.907211963
Bratunac,2010,95.97120485,10.3334424,2.335385471,0.536539557,0.639375006,0.340143309,115.1335616,11111.15738,27.40242125,750.8926904,5.294625063,0.089235254,24.17556702,6.734287159,1.907211963
Bratunac,2014,93.54878653,10.3334424,2.335385471,0.536539557,0.639375006,0.340143309,115.1335616,11111.15738,27.40242125,750.8926904,5.294625063,0.089235254,24.17556702,6.734287159,1.907211963
Srebrenica,2006,97.04878049,20.85583374,3.037633705,0.630288624,0.750943779,0.225749898,68.79174484,16670.92129,27.870234,776.7499435,4.674630448,0.054546446,41.72059151,16.04483718,2.775387127
Srebrenica,2010,96.89592209,20.85583374,3.037633705,0.630288624,0.750943779,0.225749898,68.79174484,16670.92129,27.870234,776.7499435,4.674630448,0.054546446,41.72059151,16.04483718,2.775387127
Srebrenica,2014,90.72184429,20.85583374,3.037633705,0.630288624,0.750943779,0.225749898,68.79174484,16670.92129,27.870234,776.7499435,4.674630448,0.054546446,41.72059151,16.04483718,2.775387127
Livno,2006,84.18494001,0.231527094,-1.463058376,0.124016575,0.626656637,0.648580218,40.84507042,15004.97537,32.33848522,1045.777626,2.396551724,0.246305419,7.663609193,0.064039409,-2.74825662
Livno,2010,73.98114355,0.231527094,-1.463058376,0.124016575,0.626656637,0.648580218,40.84507042,15004.97537,32.33848522,1045.777626,2.396551724,0.246305419,7.663609193,0.064039409,-2.74825662
Livno,2014,89.22225947,0.231527094,-1.463058376,0.124016575,0.626656637,0.648580218,40.84507042,15004.97537,32.33848522,1045.777626,2.396551724,0.246305419,7.663609193,0.064039409,-2.74825662
Bugojno,2006,70.73645049,1.695493613,0.527973916,0.34820214,0.384996088,0.286800258,129.8864266,22862.14251,28.91799782,836.2505982,5.852118834,0.255923564,8.902921613,0.420141184,-0.867164472
Bugojno,2010,58.90459615,1.695493613,0.527973916,0.34820214,0.384996088,0.286800258,129.8864266,22862.14251,28.91799782,836.2505982,5.852118834,0.255923564,8.902921613,0.420141184,-0.867164472
Bugojno,2014,62.98350201,1.695493613,0.527973916,0.34820214,0.384996088,0.286800258,129.8864266,22862.14251,28.91799782,836.2505982,5.852118834,0.255923564,8.902921613,0.420141184,-0.867164472
Gornji Vakuf - Uskopolje,2006,87.58897373,2.509828839,0.920214559,0.554176064,0.500853461,0.420882309,62.63930348,14068.42461,27.90887971,778.9055667,5.246018824,0.079424963,12.53020487,0.488463524,-0.71649048
Gornji Vakuf - Uskopolje,2010,80.21544369,2.509828839,0.920214559,0.554176064,0.500853461,0.420882309,62.63930348,14068.42461,27.90887971,778.9055667,5.246018824,0.079424963,12.53020487,0.488463524,-0.71649048
Gornji Vakuf - Uskopolje,2014,79.37790569,2.509828839,0.920214559,0.554176064,0.500853461,0.420882309,62.63930348,14068.42461,27.90887971,778.9055667,5.246018824,0.079424963,12.53020487,0.488463524,-0.71649048
Novi Travnik,2006,81.59585259,1.56285612,0.446514993,0.314631477,0.387443802,0.329819716,126.9132231,22223.61866,27.96838472,782.230544,2.158695015,0,10.02385736,0.273499821,-1.296454312
Novi Travnik,2010,65.43556028,1.56285612,0.446514993,0.314631477,0.387443802,0.329819716,126.9132231,22223.61866,27.96838472,782.230544,2.158695015,0,10.02385736,0.273499821,-1.296454312
Novi Travnik,2014,82.25579053,1.56285612,0.446514993,0.314631477,0.387443802,0.329819716,126.9132231,22223.61866,27.96838472,782.230544,2.158695015,0,10.02385736,0.273499821,-1.296454312
Vitez,2006,86.86440678,3.607451811,1.283001654,0.371844505,0.435132714,0.412500855,175.2138365,22011.19925,28.43223016,808.3917118,2.196776625,0.287160343,15.70298009,1.03736674,0.036685521
Vitez,2010,79.82413288,3.607451811,1.283001654,0.371844505,0.435132714,0.412500855,175.2138365,22011.19925,28.43223016,808.3917118,2.196776625,0.287160343,15.70298009,1.03736674,0.036685521
Vitez,2014,87.99227475,3.607451811,1.283001654,0.371844505,0.435132714,0.412500855,175.2138365,22011.19925,28.43223016,808.3917118,2.196776625,0.287160343,15.70298009,1.03736674,0.036685521
Busovaca,2006,85.9229335,1.949255787,0.667447652,0.419171963,0.465265458,0.452878585,119.4873418,11141.32104,28.05964299,787.3435647,2.473647969,0.052968907,9.85481406,0.354891679,-1.035942666
